Loan_ID,Loan_Status
LP001003,0
LP001005,1
LP001006,1
LP001008,1
LP001011,1
LP001013,1
LP001014,0
LP001018,1
LP001020,0
LP001024,1
LP001028,1
LP001029,0
LP001030,1
LP001032,1
LP001036,0
LP001038,0
LP001043,0
LP001046,1
LP001047,0
LP001066,1
LP001068,1
LP001073,1
LP001086,0
LP001095,0
LP001097,0
LP001098,1
LP001100,0
LP001112,1
LP001114,1
LP001116,1
LP001119,0
LP001120,1
LP001131,1
LP001138,1
LP001144,1
LP001146,0
LP001151,1
LP001155,1
LP001157,1
LP001164,0
LP001179,0
LP001186,0
LP001194,1
LP001195,1
LP001197,0
LP001198,1
LP001199,1
LP001205,1
LP001206,1
LP001207,0
LP001222,0
LP001225,0
LP001228,0
LP001233,1
LP001238,1
LP001241,0
LP001243,1
LP001245,1
LP001248,1
LP001253,1
LP001255,0
LP001256,0
LP001259,0
LP001263,0
LP001265,1
LP001267,0
LP001275,1
LP001279,1
LP001282,1
LP001289,1
LP001310,1
LP001316,1
LP001318,1
LP001319,1
LP001322,1
LP001325,1
LP001327,1
LP001333,1
LP001334,1
LP001343,1
LP001345,1
LP001349,1
LP001367,1
LP001369,1
LP001379,0
LP001384,1
LP001385,1
LP001401,1
LP001404,1
LP001421,0
LP001422,1
LP001430,1
LP001431,1
LP001432,1
LP001439,1
LP001451,0
LP001473,1
LP001478,1
LP001482,1
LP001487,1
LP001488,0
LP001489,0
LP001491,1
LP001492,0
LP001493,0
LP001497,0
LP001498,1
LP001504,1
LP001507,1
LP001508,1
LP001514,1
LP001516,1
LP001518,1
LP001519,0
LP001520,1
LP001528,0
LP001529,1
LP001531,0
LP001532,0
LP001535,1
LP001536,1
LP001543,1
LP001552,1
LP001560,1
LP001562,0
LP001565,0
LP001570,1
LP001572,1
LP001577,0
LP001578,1
LP001579,0
LP001580,1
LP001586,0
LP001594,1
LP001603,0
LP001606,1
LP001608,1
LP001610,0
LP001616,1
LP001630,0
LP001633,0
LP001636,1
LP001637,0
LP001639,1
LP001640,1
LP001641,0
LP001647,1
LP001653,1
LP001656,0
LP001657,0
LP001658,1
LP001664,1
LP001665,0
LP001666,1
LP001673,0
LP001674,1
LP001677,1
LP001688,1
LP001691,1
LP001692,1
LP001693,1
LP001698,1
LP001699,1
LP001702,0
LP001708,0
LP001711,0
LP001713,1
LP001715,1
LP001716,1
LP001720,1
LP001722,0
LP001726,1
